Word	Pronunciation	Definition
环境	huan2 jing4	environment; circumstances; surroundings; CL:個|个[ge4]; ambient
换	huan4	change; exchange
黄	huang2	yellow; pornographic; to fall through
回	hui2	to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book)
回答	hui2 da2	to reply; to answer; the answer; CL:個|个[ge4]
回忆	hui2 yi4	to recall; recollection; CL:個|个[ge4]
会	hui4	can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is hui3)
会议	hui4 yi4	meeting; conference; CL:場|场[chang3],屆|届[jie4]
活动	huo2 dong4	to exercise; to move about; to operate; activity; loose; shaky; active; movable; maneuver; to use connections; CL:項|项[xiang4],個|个[ge4]
活泼	huo2 po5	lively; vivacious; brisk; active
火	huo3	fire; CL:把[ba3]
火车站	huo3 che1 zhan4	train station
获得	huo4 de2	to obtain; to receive; to get
或者	huo4 zhe3	or; possibly; maybe; perhaps
机场	ji1 chang3	airport; airfield; CL:家[jia1],處|处[chu4]
机会	ji1 hui4	opportunity; chance; occasion; CL:個|个[ge4]
基础	ji1 chu3	base; foundation; basis; underlying; CL:個|个[ge4]
鸡蛋	ji1 dan4	(chicken) egg; hen's egg; CL:個|个[ge4],打[da2]
激动	ji1 dong4	to excite; to agitate; exciting
几乎	ji1 hu1	almost; nearly; practically
积极	ji1 ji2	active; energetic; vigorous; positive (outlook); proactive
积累	ji1 lei3	to accumulate; accumulation; cumulative; cumulatively
极	ji2	extremely; pole (geography, physics); utmost; top
极其	ji2 qi2	extremely
集合	ji2 he2	a congregation; to gather; a set
及时	ji2 shi2	in time; promptly; without delay; timely
即使	ji2 shi3	even if; even though; given that
几	ji3	how much; how many; several; a few
寄	ji4	to live (in a house); to lodge; to mail; to send; to entrust; to depend
记得	ji4 de5	to remember
记者	ji4 zhe3	reporter; journalist; CL:個|个[ge4]
计划	ji4 hua4	plan; project; program; to plan; to map out; CL:個|个[ge4],項|项[xiang4]
季节	ji4 jie2	time; season; period; CL:個|个[ge4]
既然	ji4 ran2	since; as; this being the case
技术	ji4 shu4	technology; technique; skill; CL:門|门[men2],種|种[zhong3],項|项[xiang4]
继续	ji4 xu4	to continue; to proceed with; to go on with
家	jia1	home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:個|个[ge4]
家具	jia1 ju4	furniture; CL:件[jian4],套[tao4]
加班	jia1 ban1	to work overtime
加油站	jia1 you2 zhan4	gas station
假	jia3	fake; false; artificial; to borrow; if; suppose
价格	jia4 ge2	price; CL:個|个[ge4]
坚持	jian1 chi2	to continue upholding; to remain committed to; persistence; to persist; to uphold; to insist on; persevere
检查	jian3 cha2	inspection; to examine; to inspect; CL:次[ci4]
简单	jian3 dan1	simple; not complicated
减肥	jian3 fei2	to lose weight
减少	jian3 shao3	to lessen; to decrease; to reduce; to lower
件	jian4	item; component; classifier for events, things, clothes etc
健康	jian4 kang1	health; healthy
见面	jian4 mian4	to meet; to see sb; CL:次[ci4]
将来	jiang1 lai2	in the future; future; the future; CL:個|个[ge4]
讲	jiang3	to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture
奖金	jiang3 jin1	premium; award money; a bonus
降低	jiang4 di1	to reduce; to lower; to bring down
教	jiao1	to teach
交	jiao1	to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines)
交流	jiao1 liu2	exchange; give-and-take; to exchange; to alternate; communication; alternating current (electricity)
交通	jiao1 tong1	to be connected; traffic; communications; liaison
骄傲	jiao1 ao4	arrogant; full of oneself; conceited; proud of sth; CL:個|个[ge4]
角	jiao3	angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan; CL:個|个[ge4]
脚	jiao3	foot; leg; base; kick; CL:雙|双[shuang1],隻|只[zhi1]
饺子	jiao3 zi5	dumpling; pot-sticker; CL:個|个[ge4],隻|只[zhi1]
叫	jiao4	to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood)
教室	jiao4 shi4	classroom; CL:間|间[jian1]
教授	jiao4 shou4	professor; to instruct; to lecture on; CL:個|个[ge4],位[wei4]
教育	jiao4 yu4	to educate; to teach; education
接	jie1	to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; take over for sb
接受	jie1 shou4	to accept; to receive
街道	jie1 dao4	street; CL:條|条[tiao2]
结果	jie1 guo3	to bear fruit; CL:個|个[ge4]
结婚	jie2 hun1	to marry; to get married; CL:次[ci4]
结束	jie2 shu4	termination; to finish; to end; to conclude; to close
节目	jie2 mu4	program; item (on a program); CL:臺|台[tai2],個|个[ge4],套[tao4]
节日	jie2 ri4	holiday; festival; CL:個|个[ge4]
节约	jie2 yue1	to economize; to conserve (resources); economy; frugal
姐姐	jie3 jie5	older sister; CL:個|个[ge4]
解决	jie3 jue2	to settle (a dispute); to resolve; to solve
解释	jie3 shi4	explanation; to explain; to interpret; to resolve; CL:個|个[ge4]
借	jie4	to lend; to borrow; excuse; pretext; by means of; to seize (an opportunity); to take (an opportunity)
介绍	jie4 shao4	to present; to introduce; to recommend; to suggest; to let know; to brief
今天	jin1 tian1	today; at the present; now
尽管	jin3 guan3	despite; although; even though; in spite of; unhesitatingly; do not hesitate (to ask, complain etc); (go ahead and do it) without hesitating
紧张	jin3 zhang1	nervous; keyed up; intense; tense; strained; in short supply; scarce; CL:陣|阵[zhen4]
近	jin4	near; close to; approximately
进	jin4	to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal
进行	jin4 xing2	to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute
禁止	jin4 zhi3	to prohibit; to forbid; to ban
精彩	jing1 cai3	brilliant; splendid
精神	jing1 shen2	spirit; mind; consciousness; thought; mental; psychological; essence; gist; CL:個|个[ge4]
经常	jing1 chang2	day to day; everyday; daily; frequently; constantly; regularly; often
经过	jing1 guo4	to pass; to go through; process; course; CL:個|个[ge4]
经济	jing1 ji4	economy; economic
经理	jing1 li3	manager; director; CL:個|个[ge4],位[wei4],名[ming2]
经历	jing1 li4	experience; CL:個|个[ge4],次[ci4]; to experience; to go through
经验	jing1 yan4	to experience; experience
京剧	Jing1 ju4	Beijing opera; CL:場|场[chang3],出[chu1]
警察	jing3 cha2	police; policeman; policewoman; CL:個|个[ge4]
竟然	jing4 ran2	unexpectedly; to one's surprise; in spite of everything; in that crazy way; actually; to go as far as to
竞争	jing4 zheng1	to compete; competition
镜子	jing4 zi5	mirror; CL:面[mian4],個|个[ge4]
究竟	jiu1 jing4	after all (when all is said and done); actually; outcome; result
九	jiu3	nine; 9
久	jiu3	(long) time; (long) duration of time
旧	jiu4	old; opposite: new 新; former; worn (with age)
就	jiu4	at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning
举办	ju3 ban4	to conduct; to hold
举行	ju3 xing2	to hold (a meeting, ceremony etc)
拒绝	ju4 jue2	to refuse; to decline; to reject
距离	ju4 li2	distance; to be apart; CL:個|个[ge4]
句子	ju4 zi5	sentence; CL:個|个[ge4]
觉得	jue2 de5	to think; to feel
决定	jue2 ding4	to decide (to do something); to resolve; decision; CL:個|个[ge4],項|项[xiang4]; certainly
咖啡	ka1 fei1	coffee; CL:杯[bei1]
开	kai1	to open; to start; to turn on; to boil; to write out (a medical prescription); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin
开始	kai1 shi3	to begin; beginning; to start; initial; CL:個|个[ge4]
开玩笑	kai1 wan2 xiao4	to play a joke; to make fun of; to joke
看	kan4	to see; to look at; to read; to watch; to consider; to regard as; to view as; to treat as; to judge; (after repeated verb) to give it a try; depending on (how you're judging); to visit; to call on; to treat (an illness); to look after; Watch out! (for a danger)
看法	kan4 fa3	way of looking at a thing; view; opinion; CL:個|个[ge4]
看见	kan4 jian4	to see; to catch sight of
考虑	kao3 lv4	to think over; to consider; consideration
考试	kao3 shi4	exam; CL:次[ci4]
棵	ke1	classifier for trees, cabbages, plants etc
科学	ke1 xue2	science; scientific knowledge; scientific; CL:門|门[men2],個|个[ge4],種|种[zhong3]
咳嗽	ke2 sou5	to cough; CL:陣|阵[zhen4]
渴	ke3	thirsty
可爱	ke3 ai4	amiable; cute; lovely
可怜	ke3 lian2	pitiful; pathetic
可能	ke3 neng2	might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4]
可是	ke3 shi4	but; however
可惜	ke3 xi1	it is a pity; what a pity; (it's) too bad
可以	ke3 yi3	can; may; possible; able to
刻	ke4	quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals
课	ke4	subject; course; class; lesson; CL:堂[tang2],节|節[jie2],門|门[men2]
客人	ke4 ren2	visitor; guest; customer; client; CL:位[wei4]
肯定	ken3 ding4	to be sure; to be certain; sure; certain; definite; to confirm; to affirm; affirmative
空气	kong1 qi4	air; atmosphere
空调	kong1 tiao2	air conditioning
恐怕	kong3 pa4	fear; to dread; I'm afraid that...; perhaps; maybe
口	kou3	mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc)
哭	ku1	to cry; to weep
苦	ku3	bitter; hardship; pain; to suffer; painstaking
裤子	ku4 zi5	trousers; pants; CL:條|条[tiao2]
块	kuai4	lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱
快	kuai4	rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant
快乐	kuai4 le4	happy; merry
筷子	kuai4 zi5	chopsticks; CL:對|对[dui4],根[gen1],把[ba3],雙|双[shuang1]
宽	kuan1	lenient; wide; broad
困	kun4	to trap; to surround; hard-pressed; stranded; destitute
困难	kun4 nan5	(financial etc) difficulty; problem; issue; CL:個|个[ge4]
扩大	kuo4 da4	to expand; to enlarge; to broaden one's scope
拉	la1	to pull; to play (string instruments); to drag; to draw
垃圾桶	la1 ji1 tong3	rubbish bin
辣	la4	hot (spicy); pungent
来	lai2	to come; to arrive; to come round; ever since; next
来不及	lai2 bu5 ji2	there's not enough time (to do sth); it's too late (to do sth)
来得及	lai2 de5 ji2	there's still time; able to do sth in time
蓝	lan2	blue; indigo plant
懒	lan3	lazy
浪费	lang4 fei4	to waste; to squander
浪漫	lang4 man4	romantic
老	lao3	prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough
老虎	lao3 hu3	tiger; CL:隻|只[zhi1]
老师	lao3 shi1	teacher; CL:個|个[ge4],位[wei4]
了	le5	(modal particle intensifying preceding clause); (completed action marker)
累	lei4	tired; weary; to strain; to wear out; to work hard
冷	leng3	cold
冷静	leng3 jing4	calm; cool-headed
离	li2	to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old)
离开	li2 kai1	to depart; to leave
里	li3	lining; interior; inside; internal; also written 裡|里 [li3]
理发	li3 fa4	a barber; hairdressing
理解	li3 jie3	to comprehend; to understand; comprehension; understanding
理想	li3 xiang3	a dream; an ideal; perfection; ideal; perfect; desirable; CL:個|个[ge4]
礼貌	li3 mao4	courtesy; manners
礼物	li3 wu4	gift; present; CL:件[jian4],個|个[ge4],份[fen4]
厉害	li4 hai5	difficult to deal with; difficult to endure; ferocious; radical; serious; terrible; violent; tremendous; awesome
力气	li4 qi5	strength; CL:把[ba3]
例如	li4 ru2	for example; for instance; such as
历史	li4 shi3	history; CL:門|门[men2],段[duan4]
俩	lia3	two (colloquial equivalent of 兩個|两个); both; some
连	lian2	to link; to join; to connect; continuously; in succession; including; (used with 也, 都 etc) even; company (military)
联系	lian2 xi4	connection; contact; relation; in touch with; to integrate; to link; to touch
脸	lian3	face; CL:張|张[zhang1],個|个[ge4]
练习	lian4 xi2	exercise; drill; practice; CL:個|个[ge4]
凉快	liang2 kuai5	nice and cold; pleasantly cool
两	liang3	both; two; ounce; some; a few; tael; weight equal to 50 grams
亮	liang4	bright; clear; resonant; to shine; to show; to reveal
辆	liang4	classifier for vehicles
聊天	liao2 tian1	to chat; to gossip
了解	liao3 jie3	to understand; to realize; to find out
邻居	lin2 ju1	neighbor; next door; CL:個|个[ge4]
零	ling2	zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither
另外	ling4 wai4	additional; in addition; besides; separate; other; moreover; furthermore
留	liu2	to leave (eg a message); to retain; to stay; to remain; to keep; to preserve
留学	liu2 xue2	to study abroad
流泪	liu2 lei4	to shed tears
流利	liu2 li4	fluent
流行	liu2 xing2	to spread; to rage (of contagious disease); popular; fashionable; prevalent; (math.) manifold
六	liu4	six; 6
楼	lou2	house with more than 1 story; storied building; floor; CL:層|层[ceng2],座[zuo4],棟|栋[dong4]
路	lu4	road; path; way; CL:條|条[tiao2]
乱	luan4	in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary
旅游	lv3 you2	trip; journey; tourism; travel; tour
绿	lv4	green
律师	lv4 shi1	lawyer
妈妈	ma1 ma5	mama; mommy; mother; CL:個|个[ge4],位[wei4]
麻烦	ma2 fan5	inconvenient; troublesome; to trouble or bother sb; to put sb to trouble
马	ma3	horse; abbr. for Malaysia 馬來西亞|马来西亚
马虎	ma3 hu5	careless; sloppy; negligent; skimpy
马上	ma3 shang4	at once, right away, immediately; lit. on horseback
吗	ma5	(question tag)
买	mai3	to buy; to purchase
卖	mai4	to sell; to betray; to spare no effort; to show off or flaunt
满	man3	full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented; to fill; abbr. for Manchurian
满意	man3 yi4	satisfied; pleased; to one's satisfaction
慢	man4	slow
忙	mang2	busy; hurriedly
猫	mao1	cat; CL:隻|只[zhi1]
毛巾	mao2 jin1	towel; CL:條|条[tiao2]
帽子	mao4 zi5	hat; cap; CL:頂|顶[ding3]
没	mei2	(negative prefix for verbs); have not; not
没关系	mei2 guan1 xi5	it doesn't matter
每	mei3	each; every
美丽	mei3 li4	beautiful
妹妹	mei4 mei5	younger sister; fig. younger woman (esp. girl friend or rival); CL:個|个[ge4]
门	men2	gate; door; CL:扇[shan4]; gateway; doorway; CL:個|个[ge4]; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology
梦	meng4	dream; CL:場|场[chang2],個|个[ge4]
米	mi3	rice; CL:粒[li4]; meter (classifier)
米饭	mi3 fan4	(cooked) rice
密码	mi4 ma3	code; secret code; password; pin number
免费	mian3 fei4	free (of charge)
面包	mian4 bao1	bread; CL:片[pian4],袋[dai4],塊|块[kuai4]
面条	mian4 tiao2	noodles
民族	min2 zu2	nationality; ethnic group; CL:個|个[ge4]
明白	ming2 bai5	clear; obvious; unequivocal; to understand; to realize
明天	ming2 tian1	tomorrow
名字	ming2 zi5	name (of a person or thing); CL:個|个[ge4]
母亲	mu3 qin1	mother; also pr. with light tone [mu3 qin5]; CL:個|个[ge4]
目的	mu4 di4	purpose; aim; goal; target; objective; CL:個|个[ge4]
拿	na2	to hold; to seize; to catch; to apprehend; to take
哪	na3	how; which
哪儿	na3 r5	where?; wherever; anywhere
那	na4	that; those; then (in that case); commonly pr. nei4 before a classifier, esp. in Beijing
那儿	na4 r5	there
奶奶	nai3 nai5	(informal) father's mother; paternal grandmother; CL:位[wei4]
耐心	nai4 xin1	patient (adjective)
南	nan2	south
难	nan2	difficult (to...); problem; difficulty; difficult; not good
难道	nan2 dao4	don't tell me ...; could it be that...?
难过	nan2 guo4	feel sorry; be grieved
难受	nan2 shou4	to feel unwell; to suffer pain; to be difficult to bear
男人	nan2 ren2	a man; a male; men; CL:個|个[ge4]
呢	ne5	(question particle for subjects already mentioned)
内	nei4	inside; inner; internal; within; interior
内容	nei4 rong2	content; substance; details; CL:個|个[ge4],項|项[xiang4]
能	neng2	to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of
能力	neng2 li4	capability; capable; able; ability; CL:個|个[ge4]
你	ni3	you (informal, as opposed to polite 您[nin2])
年	nian2	year; CL:個|个[ge4]
年级	nian2 ji2	grade; CL:個|个[ge4]
年龄	nian2 ling2	(a person's) age; CL:把[ba3],個|个[ge4]
年轻	nian2 qing1	young
鸟	niao3	bird; CL:隻|只[zhi1],群[qun2]
您	nin2	you (polite, as opposed to informal 你[ni3])
牛奶	niu2 nai3	cow's milk; CL:瓶[ping2],杯[bei1]
农村	nong2 cun1	rural area; village; CL:個|个[ge4]
弄	nong4	to do; to manage; to handle; to play with; to fool with; to mess with; to fix; to toy with
努力	nu3 li4	great effort; to strive; to try hard
暖和	nuan3 huo5	warm; nice and warm
女儿	nv3 er2	daughter
女人	nv3 ren2	woman
偶尔	ou3 er3	occasionally; once in a while; sometimes
爬山	pa2 shan1	to climb a mountain; to mountaineer; hiking; mountaineering
排列	pai2 lie4	array; arrangement; permutation (i.e. ordered choice of n elements out of m)
盘子	pan2 zi5	tray; plate; dish; CL:個|个[ge4]
判断	pan4 duan4	to decide; to determine; CL:個|个[ge4]
旁边	pang2 bian1	lateral; side; to the side; beside
胖	pang4	fat; plump
跑步	pao3 bu4	to walk quickly; to march; to run
陪	pei2	to accompany; to keep sb company
朋友	peng2 you5	friend; CL:個|个[ge4],位[wei4]
批评	pi1 ping2	to criticize; criticism; CL:個|个[ge4]
皮肤	pi2 fu1	skin; CL:種|种[zhong3]
啤酒	pi2 jiu3	beer; CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]
脾气	pi2 qi4	temperament; disposition; temper; CL:個|个[ge4]
篇	pian1	sheet; piece of writing; bound set of bamboo slips used for record keeping (old); classifier for written items: chapter, article
便宜	pian2 yi5	small advantages; to let sb off lightly; cheap; inexpensive
骗	pian4	to cheat; to swindle; to deceive; to fool; to hoodwink; to trick
票	piao4	ticket; ballot; bank note; CL:張|张[zhang1]; person held for ransom; amateur performance of Chinese opera; classifier for shipments and business transactions (topolect)
漂亮	piao4 liang5	pretty; beautiful
乒乓球	ping1 pang1 qiu2	table tennis; ping-pong; ping pong; table tennis ball; CL:個|个[ge4]
苹果	ping2 guo3	apple; CL:個|个[ge4],顆|颗[ke1]
平时	ping2 shi2	in normal times; in peacetime
瓶子	ping2 zi5	bottle; CL:個|个[ge4]
破	po4	broken; damaged; worn out; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of
葡萄	pu2 tao5	grape
普遍	pu3 bian4	universal; general; widespread; common
普通话	pu3 tong1 hua4	Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech
七	qi1	seven; 7
妻子	qi1 zi5	wife; CL:個|个[ge4]
骑	qi2	to ride (an animal or bike); to sit astride
其次	qi2 ci4	next; secondly
其实	qi2 shi2	actually, in fact, really
其他	qi2 ta1	other; the others; else; other than (that person); in addition to the person mentioned above
其中	qi2 zhong1	among; in; included among these
奇怪	qi2 guai4	strange; odd
起床	qi3 chuang2	to get up
起飞	qi3 fei1	to take off (in an airplane)
起来	qi3 lai5	beginning or continuing an action; upward movement; stand up
气候	qi4 hou4	climate; atmosphere; situation; CL:種|种[zhong3]
千	qian1	thousand
千万	qian1 wan4	ten million; countless; many; one must by all means
铅笔	qian1 bi3	(lead) pencil; CL:支[zhi1],枝[zhi1],桿|杆[gan3]
签证	qian1 zheng4	visa; certificate; to certify; CL:個|个[ge4]
钱	qian2	coin; money; CL:筆|笔[bi3]
前面	qian2 mian4	ahead; in front; preceding; above
墙	qiang2	wall; CL:面[mian4],堵[du3]
敲	qiao1	extort; knock; to strike; to knock (at a door); to hit
桥	qiao2	bridge; CL:座[zuo4]
巧克力	qiao3 ke4 li4	chocolate (loanword); CL:塊|块[kuai4]
亲戚	qin1 qi5	a relative (i.e. family relation); CL:門|门[men2],個|个[ge4],位[wei4]
轻	qing1	light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral
轻松	qing1 song1	gentle; relaxed
清楚	qing1 chu5	clear; clearly understood; distinct
晴	qing2	clear; fine (weather)
情况	qing2 kuang4	circumstances; state of affairs; situation; CL:個|个[ge4],種|种[zhong3]
请	qing3	to ask; to invite; please (do sth); to treat (to a meal etc); to request
请假	qing3 jia4	ask for time off
请客	qing3 ke4	give a dinner party; entertain guests; invite to dinner
穷	qiong2	exhausted; poor
秋	qiu1	autumn; fall; harvest time; a swing; surname Qiu
区别	qu1 bie2	difference; to distinguish; to discriminate; to make a distinction; CL:個|个[ge4]
取	qu3	to take; to get; to choose; to fetch
去	qu4	to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed
去年	qu4 nian2	last year
全部	quan2 bu4	whole; entire; complete
缺点	que1 dian3	weak point; fault; shortcoming; CL:個|个[ge4]
缺少	que1 shao3	lack; shortage of; shortfall; to be short (of); to lack
却	que4	but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though
确实	que4 shi2	indeed; really; reliable; real; true
群	qun2	group; crowd; flock, herd, pack etc
裙子	qun2 zi5	skirt; CL:條|条[tiao2]
然而	ran2 er2	however; yet; but
然后	ran2 hou4	after; then (afterwards); after that; afterwards
让	rang4	to yield; to permit; to let sb do sth; to have sb do sth
热	re4	heat; to heat up; fervent; hot (of weather); warm up
热闹	re4 nao5	bustling with noise and excitement; lively
热情 	re4 qing2	cordial; enthusiastic; passion; passionate; passionately
人	ren2	man; person; people; CL:個|个[ge4],位[wei4]
人民币	ren2 min2 bi4	Renminbi (RMB); Chinese Yuan (CNY)
任何	ren4 he2	any; whatever; whichever; whatsoever
任务	ren4 wu5	mission; assignment; task; duty; role; CL:項|项[xiang4],個|个[ge4]
认识	ren4 shi5	to know; to recognize; to be familiar with; acquainted with sth; knowledge; understanding; awareness; cognition
认为	ren4 wei2	to believe; to think; to consider; to feel
认真	ren4 zhen1	conscientious; earnest; serious; to take seriously; to take to heart
扔	reng1	to throw; to throw away
仍然	reng2 ran2	still; yet
日	ri4	sun; day; date, day of the month; abbr. for 日本|日本 Japan
日记	ri4 ji4	diary; CL:則|则[ze2],本[ben3],篇[pian1]
容易	rong2 yi4	easy; likely; liable (to)
如果	ru2 guo3	if; in case; in the event that
入口	ru4 kou3	entrance
软	ruan3	soft; flexible
三	san1	three; 3
伞	san3	umbrella; parasol; CL:把[ba3]
散步	san4 bu4	to take a walk; to go for a walk
森林	sen1 lin2	forest; CL:片[pian4]
沙发	sha1 fa1	sofa; CL:條|条[tiao2],張|张[zhang1]
商店	shang1 dian4	store; shop; CL:家[jia1],個|个[ge4]
商量	shang1 liang5	to consult; to talk over; to discuss
伤心	shang1 xin1	to grieve; broken-hearted
上	shang4	on; on top; upon; first (of multiple parts); previous; last; upper; higher; above; to climb; to go into; to go up; to attend (class or university)
上班	shang4 ban1	to go to work; to be on duty; to start work; to go to the office
上网	shang4 wang3	to be on the internet; to stretch a net (in a sports game or for covering sth); to be netted (of fish)
上午	shang4 wu3	morning; CL:個|个[ge4]
稍微	shao1 wei1	a little bit
少	shao3	few; little; lack
社会	she4 hui4	society; CL:個|个[ge4]
谁	shei2	who; also pronounced shui2
深	shen1	close; deep; late; profound; dark (of color, water etc)
申请	shen1 qing3	to apply for sth; application (form etc); CL:份[fen4]
身体	shen1 ti3	(human) body; health; CL:個|个[ge4]
什么	shen2 me5	what?; who?; something; anything
甚至	shen4 zhi4	even; so much so that
生病	sheng1 bing4	to fall ill; to sicken
生活	sheng1 huo2	life; activity; to live; livelihood
生命	sheng1 ming4	life; living; biological; CL:個|个[ge4]
生气	sheng1 qi4	angry; mad; offended; animated; to get angry; to be enraged; to take offense; animation
生日	sheng1 ri4	birthday; CL:個|个[ge4]
声音	sheng1 yin1	voice; sound; CL:個|个[ge4]
省	sheng3	to save; to economize; to do without; to omit; to leave out; province; CL:個|个[ge4]
剩	sheng4	to remain; to be left; to have as remainder
失败	shi1 bai4	to be defeated; to lose; to fail (e.g. experiments); failure; defeat; CL:次[ci4]
失望	shi1 wang4	disappointed; to lose hope; to despair
师傅	shi1 fu5	master; qualified worker; respectful form of address for older men; CL:個|个[ge4],位[wei4],名[ming2]
湿润	shi1 run4	moist
狮子	shi1 zi5	lion; CL:隻|只[zhi1],頭|头[tou2]; Leo (star sign)
十	shi2	ten; 10
十分	shi2 fen1	to divide into ten equal parts; very; hundred percent; completely; extremely; utterly; absolutely
时候	shi2 hou5	time; length of time; moment; period
时间	shi2 jian1	time; period; CL:段[duan4]
实际	shi2 ji4	actual; reality; practice
实在	shi2 zai4	in reality; honestly; really; verily; concrete
食品	shi2 pin3	foodstuff; food; provisions; CL:種|种[zhong3]
使	shi3	to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger
使用	shi3 yong4	to use; to employ; to apply; to make use of
是	shi4	is; are; am; yes; to be
试	shi4	to test; to try; experiment; examination; test
